title,department,location,posting_date,remote,region,url
Commercial Counsel,Legal,"Atlanta, GA",2025-12-01T23:31:22.045+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/198cd5cd-aa18-4541-abc9-b1f1ec0e5084
Commercial Counsel,Legal,"San Francisco, CA",2025-11-17T21:57:25.217+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/e9f85c28-882b-4fc6-b7e1-b24b17b54599
Commercial Counsel,Legal,"New York, NY",2025-11-17T21:57:33.271+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fa2c5897-99d3-406d-9842-bf4c209e1095
"Software Engineer, Agent Architecture",Engineering,"San Francisco, CA",2025-11-14T19:08:28.843+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a0713e80-883a-4980-b0d0-73a4479326c5
"Software Engineer, Voice",Engineering,"San Francisco, CA",2025-11-14T19:33:18.894+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1bd9c1e7-a2aa-428d-9a31-1a4eed26391f
"Software Engineer, Agent Studio",Engineering,"San Francisco, CA",2026-01-05T20:51:07.035+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/2fdb200f-c5cf-420c-9997-5e5cea6e1e20
Technical Recruiter,Operations,"New York, NY",2026-01-06T20:01:40.305+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/d6f69c4a-39df-42fc-a8d4-3be5d18ea734
"Software Engineer, Demo Platform",Engineering,"San Francisco, CA",2026-01-05T21:32:36.435+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/000dad19-ab52-4790-9c32-ef72dfd2828b
Sales Engineer (APAC),Sales,Singapore,2025-12-03T21:56:18.039+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ea3d33e7-d5cb-480a-b542-535d70fe2736
"Software Engineer, Infrastructure ",Engineering,London,2025-11-25T15:33:43.854+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/a3b63fbb-3668-4849-ba32-7754ec2c76a4
"Software Engineer, Agent (Italian speaking)",Engineering,London,2025-12-04T20:47:18.493+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/6207b02d-d334-4000-b84e-2af779171838
Enterprise Account Executive,Sales,Tokyo,2025-12-04T21:00:30.264+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/d4a8ec61-f97d-4010-9505-0fc2d8b00167
"Software Engineer, Agent",Engineering,Paris,2025-12-05T10:54:22.559+00:00,Yes,Not specified,https://jobs.ashbyhq.com/Sierra/b89816c1-80b2-449b-b69e-2c261b8e9e23
"Product Manager, Agent Development (Arabic speaking)",Product,London,2025-12-04T20:45:16.494+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/9dc1651d-43e9-4970-a757-a5223cef1c4d
"Strategist, Agent Development (German speaking)",Product,London,2025-12-04T20:42:53.865+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/1045b1db-228b-40df-97d8-a8f9371d35bd
"Strategist, Agent Development (Arabic speaking)",Product,London,2025-12-04T20:43:47.710+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/034c2c56-357f-4ed2-9da7-f4d36a999385
"Product Manager, Agent Development ",Product,Tokyo,2025-12-04T20:36:18.291+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/edf44ab4-538b-4e65-b93c-392c950b9fe6
"Product Manager, Agent Development (Italian speaking)",Product,London,2025-12-04T20:45:42.176+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/2e07f536-bbaa-4cc0-957a-774ddf99de64
"Software Engineer, Agent (Arabic speaking)",Engineering,London,2025-12-04T20:46:54.620+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/ce463311-0c6c-43d9-ab79-dd751743104f
"Enterprise Account Executive, Europe (Arabic speaking)",Sales,London,2025-12-04T20:40:57.396+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/fe103c28-bc7e-433e-ad82-90a1655cba32
"Strategist, Agent Development (Italian speaking)",Product,London,2025-12-04T20:44:15.997+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/0e73be8d-e05f-4c47-aa74-416b2984334c
"Software Engineer, Insights",Engineering,"San Francisco, CA",2025-12-03T21:10:32.611+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/5ed4bbfa-1c27-4242-be7f-b8dc4ce8c25f
"Software Engineer, Agent",Engineering,Tokyo,2025-12-04T20:36:03.572+00:00,No,Not specified,https://jobs.ashbyhq.com/Sierra/8f9d2381-aa28-4ad8-bdbd-8b6a7585b56c
