title,department,openings,locations,all_locations,regions,remote_available
"Territory Account Executive, Retail - Sanford, FL",Sales,1,"Sanford, Florida, United States","Sanford, Florida, United States",Not specified,No
"Territory Account Executive, Retail - Savannah GA",Sales,1,"Savannah, Georgia, United States","Savannah, Georgia, United States",Not specified,No
"Territory Account Executive, Retail - Seattle, WA",Sales,1,"Seattle, Washington, United States","Seattle, Washington, United States",Not specified,No
"Territory Account Executive, Retail - St. Augustine, FL",Sales,1,"St. Augustine, Florida, United States","St. Augustine, Florida, United States",Not specified,No
"Territory Account Executive, Retail - Tacoma, WA",Sales,1,"Tacoma, Washington, United States","Tacoma, Washington, United States",Not specified,No
"Territory Account Executive, Retail - West Atlanta, GA",Sales,1,"Atlanta, Georgia, United States","Atlanta, Georgia, United States",Not specified,No
"Territory Account Executive, SMB - Baton Rouge, LA",Sales,1,"Baton Rouge, Louisiana, United States","Baton Rouge, Louisiana, United States",Not specified,No
"Territory Account Executive, SMB - Eastern Tennessee",Sales,1,"Tennessee, United States","Tennessee, United States",Not specified,No
"Territory Account Executive, SMB - Fairfield, CA",Sales,1,"Fairfield, California, United States","Fairfield, California, United States",Not specified,No
"Territory Account Executive, SMB - Fort Wayne, IN",Sales,1,"Fort Wayne, Indiana, United States","Fort Wayne, Indiana, United States",Not specified,No
"Territory Account Executive, SMB - Greater Philadelphia, PA",Sales,1,"Philadelphia, Pennsylvania, United States","Philadelphia, Pennsylvania, United States",Not specified,No
"Territory Account Executive, SMB - Joliet, IL",Sales,1,"Joliet, Illinois, United States","Joliet, Illinois, United States",Not specified,No
"Territory Account Executive, SMB - Kansas City, MO",Sales,1,"Kansas City, Missouri, United States","Kansas City, Missouri, United States",Not specified,No
